name,responsible_for_v,responsible_for_i,receiving_v,receiving_i,prefix_list
21st Century Political Science Association,0,1,0,1,10.17937
50Sea,1,0,0,0,10.33411
A Fundacao para o Desenvolvimento de Bauru (FunDeB),0,0,0,1,10.15675
A. I. Rosu Cultural Scientific Foundation (Fundatia cultural-stiintifica A. I. Rosu),0,0,0,5,10.5775
A.L. Makarenko GI,0,0,0,1,10.21681
AACE Corp (American Association of Clinical Endocrinologists),1,0,0,3,10.4158
AACN Publishing,11,51,91,29,10.4037
AARP,0,0,1,1,10.26419
ABC Journals,0,0,0,8,10.18034
"ABCD Diabetes Care, Ltd.",0,0,0,2,10.15277
"ACCEFYN - Academia Colombiana de Ciencias Exactas, Fisicas y Naturales",1,0,0,0,10.18257
ACFE Indonesia Chapter,0,0,0,1,10.21532
ACG Publications,0,0,0,2,10.25135
ACT Publishing Group,0,0,0,2,10.17554
AEDERMACP (European Association for the Development of Renewable Energies and Power Quality),0,0,0,2,10.24084
"AEPress, s.r.o.",0,0,0,178,10.4149
AGHU University of Science and Technology Press,0,0,0,12,10.7494
AI Access Foundation,0,0,0,63,10.1613
AI Practitioner Journal,0,0,0,1,10.12781
AI Publications,0,0,0,2,10.22161
AIBR - Asociacion de Antropologos Iberoamericanos en Red,0,0,0,1,10.11156
AICIT,0,0,0,13,10.4156
AIDAA Associazione Italiana di Aeronautica e Astronautica,0,0,1,0,10.19249
AIP Publishing,386,2973,54,1197,10.1063
AISTI,0,0,0,8,10.17013
AITO - Association Internationale pour les Technologies Objets,0,0,0,1,10.5381
AJIT - E Academic Journal of Information Technology,0,0,1,2,10.5824
ALIES,0,4,0,1,10.19277
ALOKI Ltd,0,0,9,16,10.15666
ALTEX Edition,0,0,0,5,10.14573
ALUNA,0,1,0,0,10.36740
AMA Service GmbH,0,0,1,1,10.5162
AME Publishing Company,0,0,52,102,10.21037
AMED iD3 Catalyst Unit,0,0,0,1,10.33611
AMH International Conferences and Seminars Organizing LLC,0,0,0,3,10.22610
AMPCo,107,42,319,26,10.5694
AMSUS,0,0,0,6,10.7205
ANO NCR,0,0,0,1,10.21569
ANPEGE - Revista,0,0,0,1,10.5418
ANPOCS,0,0,0,1,10.17666
ANPTUR - Associacao Nacional de Pesquisa e Pos Graducao em Turismo,1,0,0,0,10.7784
ANSF Publications,0,0,0,1,10.31018
ANU Press,1,1,0,0,10.22459
AOSIS,31,258,4,216,10.4102
AOTA Press,1,2,0,138,10.5014
APESB (Associacao de Apoio a Pesquisa em Saude Bucal),0,0,0,1,10.4034
APESC - Associacao Pro-Ensino em Santa Cruz do Sul,0,0,0,6,10.17058
APO Society of Specialists in Heart Failure,1,0,0,6,10.18087
"AR-Consult, LLC",0,0,0,1,10.18534
ARAN Ediciones,0,0,0,5,10.20960
ARC Publications Pvt Ltd.,0,0,0,18,10.20431
ARC Publishing,0,0,0,1,10.21035
ARGESIM Arbeitsgemeinschaft Simulation News,0,0,0,1,10.11128
ARLE (International Associaton for Research in L1 Education),0,0,0,11,10.17239
ARTS Publishing,0,0,0,1,10.26554
ASICE,0,0,0,2,10.17710
ASM International,7,3,229,5,10.31399
ASME International,67,448,0,307,10.1115
ASTES Journal,3,0,0,2,10.25046
ASTM International,5,6,1,104,10.1520
AVES Publishing Co.,0,0,0,70,10.5152__10.4261
Abant Izzet Baysal Universitesi Egitim Fakultesi Dergisi,0,69,0,0,10.17240
Abant Izzet Baysal University Graduate School of Social Sciences,0,12,0,0,10.11616
